University,University_cn
Chengdu_Univ_Technol,成都理工大学 
Sichuan_Agr_Univ,四川农业大学
Southwest_Petr_Univ,西南石油大学
Chengdu_Univ_Tradit_Chinese_Med,成都中医大
Sichuan_Normal_Univ,四川师范大学 
Southwest_Univ_Sci_&_Technol,西南科技大学
Chengdu_Univ_Informat_Technol,成信大 
Xihua_Univ,西华大学
China_West_Normal_Univ,西华师范大学 
Sichuan_Univ_Sci_&_Engn,四川理工学院 
Leshan_Normal_Univ,乐山师范学院 
Luzhou_Med_Coll,西南医科大学 
North_Sichuan_Med_Coll,川北医学院
Chengdu_Technol_Univ,成都工业学院 
Chengdu_Univ,成都学院
Panzhihua_Univ,攀枝花学院
Mianyang_Normal_Univ,绵阳师范学院
Neijiang_Normal_Univ,内江师范学院
Chengdu_Med_Coll,成都医学院
Yibin_Univ,宜宾学院
Xichang_Coll,西昌学院
Sichuan_Univ_Arts_&_Sci,四川文理学院
Sichuan_Tourism_Univ,四川旅游学院
Chengdu_Normal_Univ,成都师范学院 
Sichuan_Police_Coll,四川民族学院 
Sichuan_Conservatory_Mus,四川音乐学院
Chengdu_Sport_Univ,成都体育学院
Sichuan_Univ,四川大学
Univ_Elect_Sci_&_Technol_China,电子科技大学
Southwest_Jiaotong_Univ,西南交通大学
Southwestern_Univ_Finance_&_Econ,西南财经大学
Southwest_Univ_Nationalities,西南民族大学
